0,election,incumbenteffect,first_other,lab,con,libdem,winprob_other,winprob_lab,winprob_con,winprob_libdem
264,greatermanchester2021,11.3,5.329900131,57.81332274,19.28587377,4.044246243,0.02,0.96,0.02,0
265,greatermanchester2021,11.4,5.318258062,57.88400262,19.15039446,4.01025498,0.02,0.96,0.02,0
266,greatermanchester2021,11.5,5.315437763,57.97643208,19.03966486,3.994770422,0.02,0.96,0.02,0
267,greatermanchester2021,11.6,5.279766516,58.04875885,19.00210308,3.96607882,0.02,0.96,0.01,0
268,greatermanchester2021,11.7,5.249994439,58.25399645,18.86827803,3.939387493,0.02,0.97,0.01,0
269,greatermanchester2021,11.8,5.252408099,58.27599398,18.744061,3.898571478,0.02,0.97,0.01,0
270,greatermanchester2021,11.9,5.210601677,58.39358745,18.72188034,3.887407213,0.02,0.97,0.01,0
271,greatermanchester2021,12,5.21800949,58.48752787,18.54659263,3.872551612,0.02,0.97,0.01,0
272,greatermanchester2021,12.1,5.183590985,58.60396319,18.49191724,3.869228327,0.02,0.97,0.01,0
273,greatermanchester2021,12.2,5.403163059,58.66704715,19.75120304,4.337527459,0.02,0.97,0.01,0
274,greatermanchester2021,12.3,5.191279706,58.69479211,18.2230216,3.801682611,0.02,0.97,0.01,0
275,greatermanchester2021,12.4,5.141523201,58.84728113,18.19398998,3.77893535,0.02,0.97,0.01,0
276,greatermanchester2021,12.5,5.110436046,58.9117989,18.09355658,3.744107717,0.02,0.97,0.01,0
277,greatermanchester2021,12.6,5.105730392,59.06540478,17.96559209,3.736177944,0.02,0.97,0.01,0
278,greatermanchester2021,12.7,5.087158747,59.13431507,17.86685505,3.691201427,0.02,0.97,0.01,0
279,greatermanchester2021,12.8,5.053233669,59.27979232,17.74880802,3.684331548,0.02,0.97,0.01,0
280,greatermanchester2021,12.9,5.042368037,59.36302998,17.64461288,3.648676601,0.02,0.97,0.01,0
281,greatermanchester2021,13,5.023679849,59.48990969,17.50616503,3.631903237,0.02,0.97,0.01,0
282,greatermanchester2021,13.1,4.997598732,59.56600575,17.29279424,3.559857556,0.02,0.97,0.01,0
283,greatermanchester2021,13.2,4.990367305,59.66702062,17.26358482,3.561635427,0.02,0.97,0.01,0
284,greatermanchester2021,13.3,4.955522425,59.80002807,17.1990609,3.543228447,0.02,0.97,0.01,0
285,greatermanchester2021,13.4,4.939945735,59.8850294,17.10688763,3.518107182,0.02,0.97,0.01,0
